Holiday,Year,Date,Daily Mean Travel Time (Minutes),Daily Range - Lower Bound Travel Time (Minutes),Daily Range - Upper Bound Travel Time (Minutes),AM Mean Travel Time (Minutes),AM Range - Lower Bound Travel Time (Minutes),AM Range - Upper Bound Travel Time (Minutes),PM Mean Travel Time (Minutes),PM Range - Lower Bound Travel Time (Minutes),PM Range - Upper Bound Travel Time (Minutes),Midday Mean Travel Time (Minutes),Midday Range - Lower Bound Travel Time (Minutes),Midday Range - Upper Bound Travel Time (Minutes),Evening Mean Travel Time (Minutes),Evening Range - Lower Bound Travel Time (Minutes),Evening Range - Upper Bound Travel Time (Minutes),Early Morning Mean Travel Time (Minutes),Early Morning Range - Lower Bound Travel Time (Minutes),Early Morning Range - Upper Bound Travel Time (Minutes),Divisor
New Years Day,2016,1/1/2016,24.5500,20.8500,28.9167,26.2833,21.8167,31.6667,,,,22.9333,20.5667,25.5500,,,,22.9500,20.7000,25.4500,60.0000
New Years Day,2017,1/1/2017,26.6778,21.3944,33.3389,24.5500,20.6417,29.2000,,,,23.9889,21.5167,26.7889,29.1500,23.1500,36.6833,28.8556,23.3056,36.4500,
MLK Jr. Day,2016,1/18/2016,25.9833,21.6222,31.2444,24.2833,21.3000,27.8056,29.4667,26.9333,32.2500,26.3722,21.8333,32.0667,27.0833,23.3333,31.4333,25.6444,22.0167,29.9000,
MLK Jr. Day,2017,1/16/2017,26.5389,21.0722,33.4944,24.3833,20.3333,29.2556,,,,29.5444,22.4056,39.3944,24.2000,22.0667,26.5333,24.7889,20.9444,29.3500,
Presidents Day ,2016,2/15/2016,26.6222,21.7556,32.5944,24.0500,20.1667,28.7333,,,,28.0444,22.9944,34.2722,24.5667,22.6000,26.7000,25.1750,20.7500,30.5583,
Presidents Day ,2017,2/20/2017,26.2944,21.3278,32.4111,23.3778,20.0111,27.4000,30.5250,26.2083,35.7250,27.7444,22.4444,34.3167,,,,25.7778,21.2722,31.2833,
Memorial Day,2016,5/30/2016,24.3722,20.6333,28.7778,23.3278,19.9000,27.3722,,,,25.7333,22.1556,29.9167,,,,23.9083,20.5917,27.7667,
Memorial Day,2017,5/29/2017,24.6500,20.3833,29.8167,24.1222,20.8611,28.1278,23.9000,20.8250,27.4667,26.7778,22.0056,32.8944,27.1000,21.5500,34.0667,23.7000,19.7111,28.5222,
Independence Day,2016,7/4/2016,24.8667,21.2333,29.1333,25.9000,22.3167,30.0667,,,,25.9833,22.5889,29.9167,22.9500,20.7833,25.3500,23.8056,20.0833,28.2222,
Independence Day,2017,7/4/2017,24.9778,20.5722,30.3944,24.7444,19.3944,31.7778,25.4833,22.4167,28.9667,25.1222,22.0333,28.6444,26.6333,23.3333,30.3833,23.6833,20.0222,28.0611,
Labor Day,2016,9/5/2016,24.9278,20.7556,29.9944,24.7167,21.0722,29.1111,30.0500,21.7833,41.4333,25.6222,21.4778,30.5833,24.4083,21.3667,27.9167,23.9167,20.3222,28.1667,
Labor Day,2017,9/4/2017,24.4389,20.3944,29.3111,23.9222,20.3778,28.1000,22.3833,19.7167,25.3833,26.0111,21.0833,32.2278,26.2667,20.9917,32.8500,23.6111,20.0500,27.8111,
Veterans Day,2016,11/10/2016,29.9444,23.3056,38.4611,28.3500,23.8278,33.7833,37.2250,31.9917,43.4333,31.0611,24.4500,39.4667,31.9500,27.3167,37.3500,24.8278,21.0944,29.2833,
Veterans Day,2017,11/9/2017,40.1667,26.9833,59.8167,30.3667,25.5500,36.1000,68.0667,57.5000,80.5833,41.9667,33.0333,53.3000,33.5833,30.3667,37.1500,28.2000,19.3667,41.0833,
Thanksgiving,2016,11/24/2016,31.1222,22.9833,42.3833,25.7444,21.5167,30.8056,51.3667,40.1750,65.6917,32.5000,24.9722,42.4944,37.9000,29.6833,48.4500,24.9667,20.4444,30.5000,
Thanksgiving,2017,11/23/2017,31.5556,24.0222,41.6111,26.2111,22.6611,30.3167,50.3167,41.1750,61.4750,35.3056,28.3389,44.0167,37.0583,29.1667,47.2417,25.2500,20.9778,30.3944,
Christmas,2016,12/25/2016,27.2444,21.8389,34.0111,26.4778,21.3667,32.8056,32.8000,27.2000,39.5500,28.8611,23.9389,34.8167,29.7000,24.7333,35.6750,26.4389,21.3167,32.8611,
Christmas,2017,12/25/2017,25.7889,20.9167,31.8500,25.4222,20.9722,30.9500,25.2833,21.8167,29.3000,24.3556,21.0222,28.2778,26.0333,22.0556,30.7444,25.7722,20.6556,32.1889,
