Bar Size,Directed by,Episode title,Guest star,No. in Season,No. in Series,No.,Appearances,Original air date,Production Code (Characters),Production Code,Role(s),Season (Characters),Season,Synopsis,Title,U.S. Viewers,Written by
1000,Wes Archer,"""Homer's Odyssey""",Sam McMurray,3,3,003–103,1,1/21/1990,7G03,7G03,Worker,1,1,"Bart's class visits the Springfield Nuclear Power Plant and Homer, anxious to look like he is working, accidentally crashes his cart into a radioactive pipe, causing him to immediately be fired. Depressed and unable to find a new job, he decides to jump off a bridge. His family discover his plan and try to stop him, but in the process they are almost run over by a truck. Discovering his new purpose, Homer embarks on a safety crusade and eventually decides to go after the Nuclear Plant and holds protest rallies. To end Homer's furor, Mr. Burns offers him a job as safety inspector, with increased salary, which Homer accepts.","""Homer's Odyssey""",27.5,Jay Kogen & Wallace Wolodarsky
1000,Wes Archer,"""Moaning Lisa""",Ron Taylor,6,6,006–106,1,2/11/1990,7G06,7G06,Bleeding Gums Murphy,1,1,"Lisa becomes depressed, which begins to affect her performance in school. Neither Marge nor Homer are able to make Lisa happier. One night, she hears distant Jazz music and sneaks out of her room to follow it. She meetsBleeding Gums Murphy, who teaches her how to express her music through the saxophone. When Marge drops Lisa off at school the next day, she suggests that Lisa smile no matter how she feels. However, Marge sees that Lisa is being denied her creativity and realizes that that's what is disappointing her. Marge tells Lisa to just be herself, and the entire family go to see Murphy perform at a local Jazz club.","""Moaning Lisa""",27.4,Al Jean & Mike Reiss
1000,Wes Archer,"""The Call of the Simpsons""",Albert Brooks,7,7,007–107,1,2/18/1990,7G09,7G09,Cowboy Bob,1,1,"Homer becomes envious of Flanders' new RV and goes to ""Bob's RV Round-up"" to buy one of his own. Settling on a dilapidated camper, he takes the family camping and in the process destroys the RV. Leaving Lisa and Marge behind, Bart and Homer try to find their way back to civilization, but have little luck. Later on, Homer is mistaken for Bigfoot and captured. Marge, Bart and Lisa are saved and Homer is released, although scientists say that they can not determine which species he belongs to.","""The Call of the Simpsons""",27.6,John Swartzwelder
1000,David Silverman,"""Life on the Fast Lane""",Albert Brooks,9,9,009–109,1,3/18/1990,7G11,7G11,Jacques,1,1,"Having forgotten about Marge's birthday, Homer rushes to the Springfield mall and impulsively buys her a bowling ball. Marge is not impressed with the gift and after discovering that he intends to use it, she decides to spite him by going bowling herself. While at the alley, she meets Jacques, a charming French bowling instructor, who offers her lessons. Jacques begins to fall for Marge and invites her to his apartment. Although she agrees, Marge undergoes a moral dilemma. In the end, Marge visits Homer at the nuclear plant.","""Life on the Fast Lane""",33.5,John Swartzwelder
1000,Rich Moore,"""Homer's Night Out""",Sam McMurray,10,10,010–110,1,3/25/1990,7G10,7G10,Gulliver Dark,1,1,"Bart purchases a mini spy camera and manages to take a picture of Homer dancing with a stripper named Princess Kashmir at a co-worker's strip club party. He gives copies of the picture to his friends, and eventually the picture starts to circulate around until eventually Marge sees it. She kicks Homer out of the house, but the next day explains that she is not upset about him dancing, but rather that Bart saw it. She demands that he take Bart and go apologize to Princess Kashmir. Homer agrees and says that he is ready to start respecting women.","""Homer's Night Out""",30.3,Jon Vitti
1000,Brad Bird,"""Krusty Gets Busted""",Kelsey Grammer,12,12,012–112,1,4/29/1990,7G12,7G12,Sideshow Bob,1,1,"While buying ice cream at the Kwik-E-Mart, Homer witnesses a robbery perpetrated by a man believed to be Krusty the Clown, host of ""Krusty the Clown Show"", Bart's favorite program. Krusty is sent to jail and his show is taken over by his assistant, Sideshow Bob. Bart is certain that Krusty is innocent, and gathers evidence to support his claim, which he takes to ""Krusty's bestest friend"", Sideshow Bob. Bart realizes that the robbery was actually committed by Bob, who was trying to frame Krusty. Bob is arrested and Krusty thanks Bart for saving him. Note: First episode to feature Kent Brockman.","""Krusty Gets Busted""",30.4,Jay Kogen & Wallace Wolodarsky
1000,David Silverman & Kent Butterworth,"""Some Enchanted Evening""",June Foray,13,13,013–113,1,5/13/1990,7G01,7G01,Babysitter service receptionist,1,1,"Marge, feeling unappreciated by Homer, makes a call to a radio therapist, which Homer overhears at work. Homer, wanting to make it up to Marge, decides to take her to dinner at a fancy restaurant and hires a babysitter to take care of Bart and Lisa. They are sent Ms. Botz, who Bart and Lisa soon discover is actually a burglar nicknamed ""The Babysitter Bandit"". They are captured by Ms. Botz and tied up but eventually are freed by Maggie. Bart and Lisa capture Ms. Botz and call the police. Meanwhile, Marge and Homer return home and find Ms. Botz is tied up. Homer, unaware of her true identity, frees her and Ms. Botz makes a clean getaway just moments before the police arrive.","""Some Enchanted Evening""",27.1,Matt Groening & Sam Simon
1000,David Silverman & Kent Butterworth,"""Some Enchanted Evening""",Paul Willson,13,13,013–113,1,5/13/1990,7G01,7G01,Florist,1,1,"Marge, feeling unappreciated by Homer, makes a call to a radio therapist, which Homer overhears at work. Homer, wanting to make it up to Marge, decides to take her to dinner at a fancy restaurant and hires a babysitter to take care of Bart and Lisa. They are sent Ms. Botz, who Bart and Lisa soon discover is actually a burglar nicknamed ""The Babysitter Bandit"". They are captured by Ms. Botz and tied up but eventually are freed by Maggie. Bart and Lisa capture Ms. Botz and call the police. Meanwhile, Marge and Homer return home and find Ms. Botz is tied up. Homer, unaware of her true identity, frees her and Ms. Botz makes a clean getaway just moments before the police arrive.","""Some Enchanted Evening""",27.1,Matt Groening & Sam Simon
1000,David Silverman & Kent Butterworth,"""Some Enchanted Evening""",Penny Marshall,13,13,013–113,1,5/13/1990,7G01,7G01,Ms. Lucille Botz,1,1,"Marge, feeling unappreciated by Homer, makes a call to a radio therapist, which Homer overhears at work. Homer, wanting to make it up to Marge, decides to take her to dinner at a fancy restaurant and hires a babysitter to take care of Bart and Lisa. They are sent Ms. Botz, who Bart and Lisa soon discover is actually a burglar nicknamed ""The Babysitter Bandit"". They are captured by Ms. Botz and tied up but eventually are freed by Maggie. Bart and Lisa capture Ms. Botz and call the police. Meanwhile, Marge and Homer return home and find Ms. Botz is tied up. Homer, unaware of her true identity, frees her and Ms. Botz makes a clean getaway just moments before the police arrive.","""Some Enchanted Evening""",27.1,Matt Groening & Sam Simon
1000,Rich Moore,"""Simpson and Delilah""",Harvey Fierstein,2,15,015–202,1,10/18/1990,7F02,7F02,Karl,2,2,"Homer discovers a new miracle hair growth formula called Dimoxinil and cheats on some insurance forms so that he can buy some. Homer grows hair overnight and is soon given a promotion at the Springfield Nuclear Power Plant. He gets a new secretary named Karl, who helps him become successful. However, Mr. Burns' assistant Waylon Smithers becomes jealous of all the attention Burns is giving Homer and discovers that Homer had cheated on the insurance forms. Smithers tries to fire Homer, but Karl claims he cheated on the forms and is fired in Homer's stead. Bart spills Homer's remaining Dimoxinil and Homer loses all of his hair. As a result, Homer is demoted back to his old position.","""Simpson and Delilah""",29.9,Jon Vitti
1000,Rich Moore,"""Treehouse of Horror""",James Earl Jones,2,15,016–203,1,10/18/1990,7F02,7F02,Removal Man; Serak the Preparer,2,2,"Homer discovers a new miracle hair growth formula called Dimoxinil and cheats on some insurance forms so that he can buy some. Homer grows hair overnight and is soon given a promotion at the Springfield Nuclear Power Plant. He gets a new secretary named Karl, who helps him become successful. However, Mr. Burns' assistant Waylon Smithers becomes jealous of all the attention Burns is giving Homer and discovers that Homer had cheated on the insurance forms. Smithers tries to fire Homer, but Karl claims he cheated on the forms and is fired in Homer's stead. Bart spills Homer's remaining Dimoxinil and Homer loses all of his hair. As a result, Homer is demoted back to his old position.","""Simpson and Delilah""",29.9,Jon Vitti
